"X","y","Pays","Sexe","Age","Education","Statut_emploi","Revenu","Residence","Duree","mode_pref","StatutEmploi","ConsEnv"
21,0,"Netherlands","femme",36,"secondaire","Not Employed","moyen","zone rurale",10,"vehicule individuel","sans emploi",9
22,0,"Belgium","femme",29,"secondaire","Employed","faible","grande ville",40,"marche","employe",1
23,0,"Sweden","homme",46,"secondaire","Employed","moyen","zone rurale",25,"vehicule individuel","employe",5
24,0,"Romania","homme",35,"universite","Employed","moyen","petite-moyenne ville",30,"marche","employe",10
25,0,"Czech Republic","homme",46,"universite","Employed","faible","zone rurale",35,"vehicule individuel","employe",8
26,0,"Romania","femme",43,"universite","Employed","moyen","petite-moyenne ville",30,"vehicule individuel","employe",10
27,0,"Czech Republic","femme",37,"secondaire","Employed","faible","petite-moyenne ville",20,"marche","employe",10
28,0,"Spain","homme",35,"secondaire","Not Employed","faible","petite-moyenne ville",90,"vehicule individuel","sans emploi",10
29,0,"Poland","femme",25,"universite","Employed","faible","petite-moyenne ville",30,"vehicule individuel","employe",7
30,0,"Czech Republic","homme",35,"secondaire","Employed","moyen","petite-moyenne ville",35,"marche","employe",9
31,1,"Germany","homme",28,"secondaire inferieur","Employed","faible","aire metropolitaine",35,"marche","employe",4
32,0,"Denmark","homme",57,"universite","Employed","eleve","aire metropolitaine",5,"vehicule individuel","employe",7
33,0,"Germany","homme",46,"secondaire","Employed","sans reponse","zone rurale",18,"vehicule individuel","employe",8
34,0,"Denmark","homme",54,"universite","Not Employed","moyen","aire metropolitaine",15,"transport collectif","sans emploi",7
35,0,"Italy","homme",59,"secondaire","Employed","moyen","petite-moyenne ville",40,"vehicule individuel","employe",7
36,0,"Spain","femme",36,"universite","Employed","moyen","grande ville",75,"transport collectif","employe",8
37,0,"France","femme",29,"universite","Employed","moyen","zone rurale",30,"vehicule individuel","employe",9
38,1,"Finland","homme",44,"universite","Employed","moyen","grande ville",10,"velo","employe",8
39,1,"Netherlands","femme",50,"secondaire","Not Employed","moyen","zone rurale",10,"velo","sans emploi",5
40,0,"Romania","homme",51,"secondaire","Employed","moyen","petite-moyenne ville",20,"marche","employe",8
41,1,"Hungary","femme",27,"universite","Employed","moyen","petite-moyenne ville",10,"velo","employe",7
42,0,"Poland","homme",25,"universite","Employed","moyen","zone rurale",26,"transport collectif","employe",8
43,0,"Belgium","femme",58,"secondaire","Not Employed","faible","petite-moyenne ville",40,"marche","sans emploi",5
44,0,"Czech Republic","homme",37,"universite","Employed","faible","zone rurale",30,"vehicule individuel","employe",1
45,0,"Finland","femme",51,"universite","Employed","moyen","aire metropolitaine",15,"transport collectif","employe",9
46,0,"Finland","femme",22,"secondaire","Employed","moyen","aire metropolitaine",10,"transport collectif","employe",9
47,0,"Denmark","homme",45,"universite","Employed","eleve","petite-moyenne ville",45,"vehicule individuel","employe",4
48,0,"Poland","femme",25,"universite","Not Employed","moyen","aire metropolitaine",50,"transport collectif","sans emploi",7
49,1,"Hungary","femme",28,"secondaire inferieur","Employed","faible","petite-moyenne ville",30,"velo","employe",8
50,0,"Portugal","femme",27,"universite","Employed","moyen","petite-moyenne ville",120,"vehicule individuel","employe",8
51,0,"Finland","homme",22,"universite","Not Employed","moyen","petite-moyenne ville",10,"vehicule individuel","sans emploi",6
52,1,"Belgium","femme",46,"universite","Not Employed","eleve","grande ville",30,"marche","sans emploi",7
53,0,"Czech Republic","homme",36,"universite","Employed","moyen","petite-moyenne ville",10,"vehicule individuel","employe",3
54,0,"Portugal","femme",37,"secondaire","Employed","moyen","zone rurale",40,"marche","employe",4
55,0,"Czech Republic","femme",30,"secondaire inferieur","Not Employed","moyen","grande ville",10,"transport collectif","sans emploi",8
56,0,"Lithuania","homme",34,"secondaire","Employed","moyen","grande ville",5,"vehicule individuel","employe",10
57,0,"Lithuania","femme",51,"secondaire","Employed","moyen","petite-moyenne ville",15,"marche","employe",7
58,0,"Ireland","homme",49,"universite","Employed","moyen","zone rurale",20,"vehicule individuel","employe",4
59,0,"Greece","femme",49,"secondaire inferieur","Employed","faible","aire metropolitaine",30,"transport collectif","employe",4
60,0,"Germany","homme",47,"universite","Employed","eleve","petite-moyenne ville",20,"vehicule individuel","employe",5
61,1,"Finland","femme",53,"secondaire","Employed","moyen","zone rurale",3,"velo","employe",5
62,0,"Greece","homme",39,"universite","Employed","moyen","zone rurale",10,"vehicule individuel","employe",7
63,0,"Great Britain","femme",56,"secondaire inferieur","Not Employed","faible","aire metropolitaine",15,"marche","sans emploi",10
64,1,"Estonia","homme",52,"secondaire","Employed","faible","petite-moyenne ville",210,"velo","employe",5
65,1,"Estonia","femme",26,"universite","Employed","faible","grande ville",25,"velo","employe",6
66,0,"Lithuania","homme",26,"secondaire","Employed","eleve","aire metropolitaine",205,"vehicule individuel","employe",10
67,0,"Slovenia","homme",21,"secondaire","Not Employed","moyen","petite-moyenne ville",30,"marche","sans emploi",4
68,0,"Estonia","femme",38,"universite","Employed","sans reponse","grande ville",30,"vehicule individuel","employe",8
69,0,"Latvia","homme",17,"secondaire inferieur","Not Employed","tres eleve","zone rurale",94,"marche","sans emploi",9
70,0,"Spain","femme",28,"universite","Not Employed","sans reponse","grande ville",30,"marche","sans emploi",9
71,0,"France","femme",34,"universite","Employed","faible","petite-moyenne ville",8,"vehicule individuel","employe",5
72,0,"Croatia","femme",19,"secondaire","Not Employed","moyen","petite-moyenne ville",60,"marche","sans emploi",9
73,0,"Austria","homme",27,"universite","Employed","faible","zone rurale",40,"vehicule individuel","employe",4
74,0,"Czech Republic","homme",29,"secondaire","Employed","tres faible","aire metropolitaine",65,"transport collectif","employe",10
75,0,"Denmark","homme",59,"premier cycle","Not Employed","faible","petite-moyenne ville",10,"transport collectif","sans emploi",7
76,0,"Romania","homme",27,"secondaire","Employed","moyen","grande ville",45,"transport collectif","employe",7
77,0,"Austria","homme",35,"secondaire","Employed","eleve","aire metropolitaine",35,"transport collectif","employe",7
78,0,"Estonia","femme",27,"universite","Not Employed","moyen","petite-moyenne ville",30,"marche","sans emploi",5
79,0,"Slovenia","homme",29,"universite","Employed","moyen","petite-moyenne ville",35,"transport collectif","employe",8
80,0,"Ireland","femme",29,"secondaire","Employed","moyen","grande ville",10,"vehicule individuel","employe",8
81,0,"France","femme",28,"universite","Employed","eleve","grande ville",60,"transport collectif","employe",6
82,0,"France","femme",36,"secondaire","Employed","moyen","zone rurale",15,"vehicule individuel","employe",8
83,0,"Croatia","femme",32,"universite","Employed","faible","petite-moyenne ville",15,"marche","employe",7
84,1,"Germany","homme",29,"secondaire","Employed","tres eleve","aire metropolitaine",121,"velo","employe",10
85,0,"Austria","femme",46,"secondaire inferieur","Employed","moyen","zone rurale",20,"vehicule individuel","employe",5
86,0,"Croatia","homme",46,"secondaire","Employed","moyen","zone rurale",35,"vehicule individuel","employe",8
87,0,"Greece","femme",27,"universite","Employed","moyen","aire metropolitaine",15,"vehicule individuel","employe",8
88,1,"Italy","homme",49,"secondaire","Not Employed","tres faible","aire metropolitaine",60,"marche","sans emploi",10
89,0,"Ireland","homme",23,"universite","Not Employed","moyen","grande ville",50,"transport collectif","sans emploi",7
90,0,"Austria","homme",31,"universite","Employed","moyen","aire metropolitaine",120,"transport collectif","employe",8
91,0,"Greece","homme",50,"universite","Employed","moyen","aire metropolitaine",65,"vehicule individuel","employe",5
92,1,"Denmark","femme",22,"universite","Not Employed","moyen","aire metropolitaine",30,"velo","sans emploi",4
93,1,"Greece","femme",24,"universite","Employed","moyen","petite-moyenne ville",60,"marche","employe",8
94,1,"Slovenia","femme",40,"universite","Employed","moyen","zone rurale",5,"marche","employe",9
95,0,"Bulgaria","femme",46,"universite","Employed","moyen","zone rurale",70,"vehicule individuel","employe",8
96,1,"Belgium","femme",46,"universite","Employed","faible","aire metropolitaine",35,"velo","employe",9
97,0,"Slovakia","femme",23,"universite","Employed","moyen","petite-moyenne ville",30,"marche","employe",1
98,0,"Austria","homme",52,"premier cycle","Not Employed","tres faible","aire metropolitaine",20,"transport collectif","sans emploi",8
99,0,"Greece","homme",42,"universite","Not Employed","moyen","petite-moyenne ville",20,"vehicule individuel","sans emploi",8
100,0,"Belgium","homme",49,"universite","Employed","moyen","petite-moyenne ville",90,"vehicule individuel","employe",7
101,0,"Austria","femme",56,"secondaire","Not Employed","moyen","petite-moyenne ville",30,"vehicule individuel","sans emploi",8
102,1,"Netherlands","homme",45,"secondaire","Employed","moyen","petite-moyenne ville",15,"velo","employe",7
103,0,"Portugal","femme",23,"universite","Employed","faible","petite-moyenne ville",15,"vehicule individuel","employe",8
104,0,"Portugal","femme",52,"secondaire","Employed","moyen","zone rurale",10,"marche","employe",8
105,0,"Ireland","femme",45,"universite","Employed","moyen","grande ville",15,"marche","employe",9
106,0,"Ireland","homme",50,"secondaire","Not Employed","tres faible","aire metropolitaine",15,"marche","sans emploi",4
107,0,"France","homme",40,"universite","Employed","eleve","petite-moyenne ville",10,"vehicule individuel","employe",2
108,0,"Croatia","femme",30,"universite","Employed","moyen","aire metropolitaine",30,"transport collectif","employe",5
109,0,"Estonia","femme",23,"universite","Employed","moyen","petite-moyenne ville",60,"transport collectif","employe",1
110,0,"Belgium","femme",29,"secondaire","Employed","moyen","petite-moyenne ville",30,"vehicule individuel","employe",7
111,0,"Lithuania","femme",21,"secondaire","Not Employed","moyen","petite-moyenne ville",90,"marche","sans emploi",9
112,0,"Croatia","femme",26,"secondaire","Not Employed","moyen","aire metropolitaine",45,"vehicule individuel","sans emploi",8
113,0,"Austria","femme",53,"secondaire inferieur","Not Employed","moyen","zone rurale",35,"marche","sans emploi",4
114,0,"Austria","femme",47,"secondaire inferieur","Employed","sans reponse","zone rurale",90,"vehicule individuel","employe",5
115,1,"Croatia","femme",39,"universite","Employed","moyen","grande ville",15,"marche","employe",8
116,0,"Greece","femme",31,"universite","Employed","tres faible","zone rurale",5,"vehicule individuel","employe",5
117,0,"Romania","femme",42,"universite","Employed","faible","petite-moyenne ville",25,"marche","employe",9
118,0,"Lithuania","femme",46,"secondaire","Employed","faible","petite-moyenne ville",45,"vehicule individuel","employe",4
119,0,"Hungary","femme",39,"universite","Employed","moyen","petite-moyenne ville",60,"vehicule individuel","employe",5
120,1,"Slovakia","homme",48,"universite","Not Employed","tres faible","petite-moyenne ville",20,"velo","sans emploi",9
121,0,"Portugal","femme",52,"universite","Employed","moyen","grande ville",10,"vehicule individuel","employe",5
122,0,"Bulgaria","femme",45,"universite","Employed","moyen","grande ville",90,"marche","employe",10
123,0,"Ireland","femme",29,"secondaire","Not Employed","faible","zone rurale",20,"marche","sans emploi",8
124,0,"France","homme",42,"secondaire","Employed","tres faible","zone rurale",10,"vehicule individuel","employe",1
125,0,"Ireland","homme",19,"universite","Not Employed","tres eleve","petite-moyenne ville",40,"vehicule individuel","sans emploi",4
126,0,"Ireland","femme",57,"secondaire inferieur","Employed","moyen","grande ville",20,"transport collectif","employe",7
127,0,"Slovakia","femme",54,"secondaire","Not Employed","moyen","aire metropolitaine",30,"vehicule individuel","sans emploi",10
128,0,"Netherlands","homme",33,"secondaire","Employed","eleve","grande ville",30,"vehicule individuel","employe",5
129,0,"Estonia","homme",19,"universite","Not Employed","moyen","grande ville",20,"transport collectif","sans emploi",7
130,0,"Poland","femme",31,"secondaire","Employed","moyen","zone rurale",150,"vehicule individuel","employe",7
131,0,"France","femme",37,"secondaire inferieur","Employed","moyen","petite-moyenne ville",25,"marche","employe",8
132,0,"Italy","homme",48,"secondaire","Employed","faible","grande ville",25,"vehicule individuel","employe",8
133,0,"Italy","femme",50,"universite","Not Employed","faible","petite-moyenne ville",20,"vehicule individuel","sans emploi",8
134,0,"Spain","femme",30,"secondaire","Not Employed","faible","aire metropolitaine",30,"vehicule individuel","sans emploi",5
135,0,"Portugal","femme",26,"universite","Employed","moyen","grande ville",30,"transport collectif","employe",9
136,0,"Portugal","femme",47,"secondaire","Employed","moyen","petite-moyenne ville",70,"vehicule individuel","employe",8
137,0,"Croatia","femme",20,"secondaire","Not Employed","eleve","petite-moyenne ville",20,"marche","sans emploi",10
138,0,"Ireland","homme",42,"universite","Employed","moyen","zone rurale",20,"vehicule individuel","employe",9
139,0,"Austria","femme",25,"secondaire","Employed","moyen","petite-moyenne ville",20,"marche","employe",4
140,0,"Slovenia","femme",43,"secondaire","Not Employed","moyen","petite-moyenne ville",30,"marche","sans emploi",10
141,0,"Greece","femme",44,"universite","Employed","moyen","aire metropolitaine",60,"vehicule individuel","employe",7
142,1,"Finland","femme",16,"secondaire","Not Employed","tres faible","grande ville",75,"marche","sans emploi",9
143,0,"Croatia","femme",52,"secondaire","Employed","moyen","grande ville",15,"marche","employe",9
144,0,"Austria","homme",53,"secondaire inferieur","Employed","moyen","petite-moyenne ville",13,"vehicule individuel","employe",5
145,0,"Italy","homme",41,"universite","Employed","faible","petite-moyenne ville",50,"vehicule individuel","employe",5
146,0,"Slovakia","femme",34,"secondaire","Employed","moyen","grande ville",15,"transport collectif","employe",9
147,0,"Latvia","femme",41,"universite","Employed","faible","zone rurale",60,"transport collectif","employe",8
148,0,"Lithuania","homme",52,"secondaire inferieur","Employed","moyen","zone rurale",40,"vehicule individuel","employe",8
149,0,"Ireland","homme",24,"universite","Not Employed","eleve","aire metropolitaine",210,"vehicule individuel","sans emploi",8
150,0,"Greece","femme",41,"universite","Employed","faible","aire metropolitaine",70,"marche","employe",8
151,1,"Slovenia","homme",51,"universite","Employed","moyen","grande ville",25,"velo","employe",8
152,0,"Croatia","femme",29,"universite","Employed","moyen","aire metropolitaine",50,"vehicule individuel","employe",8
153,0,"Germany","homme",25,"secondaire inferieur","Employed","moyen","zone rurale",15,"vehicule individuel","employe",8
154,0,"Spain","femme",53,"secondaire","Employed","faible","aire metropolitaine",45,"marche","employe",8
155,0,"Sweden","homme",48,"secondaire","Employed","eleve","grande ville",35,"vehicule individuel","employe",8
156,0,"Ireland","femme",20,"secondaire","Not Employed","tres faible","petite-moyenne ville",5,"marche","sans emploi",8
157,0,"Spain","femme",35,"secondaire","Employed","tres faible","grande ville",25,"transport collectif","employe",1
158,0,"Italy","femme",52,"secondaire","Not Employed","tres faible","petite-moyenne ville",20,"transport collectif","sans emploi",7
159,1,"Sweden","homme",27,"secondaire","Employed","moyen","petite-moyenne ville",20,"velo","employe",10
160,0,"Sweden","femme",45,"universite","Employed","eleve","petite-moyenne ville",10,"marche","employe",6
161,0,"Estonia","femme",23,"universite","Employed","moyen","grande ville",40,"vehicule individuel","employe",10
162,0,"France","homme",60,"secondaire inferieur","Not Employed","faible","zone rurale",15,"vehicule individuel","sans emploi",6
163,1,"Hungary","homme",51,"secondaire inferieur","Employed","faible","aire metropolitaine",55,"velo","employe",8
164,1,"Italy","homme",49,"secondaire","Employed","moyen","petite-moyenne ville",60,"marche","employe",7
165,0,"Bulgaria","homme",36,"universite","Employed","eleve","aire metropolitaine",40,"marche","employe",9
166,0,"Hungary","femme",26,"premier cycle","Not Employed","sans reponse","grande ville",60,"transport collectif","sans emploi",8
167,0,"Austria","femme",48,"premier cycle","Not Employed","tres faible","aire metropolitaine",60,"marche","sans emploi",10
168,0,"Finland","femme",47,"secondaire","Not Employed","faible","zone rurale",60,"vehicule individuel","sans emploi",3
169,0,"Italy","femme",29,"universite","Not Employed","moyen","petite-moyenne ville",10,"marche","sans emploi",8
170,1,"Latvia","homme",42,"secondaire inferieur","Employed","moyen","aire metropolitaine",0,"marche","employe",8
171,0,"Bulgaria","femme",49,"secondaire","Employed","moyen","grande ville",20,"transport collectif","employe",10
172,0,"Germany","femme",48,"secondaire","Employed","faible","grande ville",15,"vehicule individuel","employe",5
173,0,"Romania","homme",21,"universite","Not Employed","moyen","petite-moyenne ville",10,"marche","sans emploi",9
174,0,"Estonia","femme",37,"universite","Not Employed","moyen","aire metropolitaine",15,"vehicule individuel","sans emploi",5
175,0,"Spain","homme",49,"universite","Not Employed","moyen","aire metropolitaine",45,"vehicule individuel","sans emploi",7
176,1,"Poland","homme",21,"universite","Employed","eleve","grande ville",210,"velo","employe",7
177,0,"Great Britain","homme",50,"secondaire","Employed","moyen","aire metropolitaine",40,"vehicule individuel","employe",1
178,1,"Finland","homme",29,"secondaire inferieur","Employed","moyen","petite-moyenne ville",60,"marche","employe",9
179,0,"Finland","femme",38,"secondaire","Not Employed","sans reponse","grande ville",15,"vehicule individuel","sans emploi",8
180,0,"Greece","homme",35,"secondaire","Not Employed","faible","zone rurale",15,"vehicule individuel","sans emploi",3
181,0,"Denmark","homme",43,"secondaire","Not Employed","tres faible","petite-moyenne ville",15,"vehicule individuel","sans emploi",5
182,0,"Estonia","femme",35,"secondaire","Not Employed","moyen","petite-moyenne ville",30,"marche","sans emploi",8
183,0,"Germany","femme",44,"premier cycle","Employed","sans reponse","aire metropolitaine",150,"vehicule individuel","employe",8
184,0,"Germany","homme",46,"universite","Employed","tres eleve","grande ville",30,"vehicule individuel","employe",3
185,0,"Romania","femme",51,"secondaire","Employed","eleve","grande ville",30,"marche","employe",9
186,0,"Netherlands","femme",41,"premier cycle","Not Employed","faible","zone rurale",5,"vehicule individuel","sans emploi",8
187,1,"Finland","homme",58,"secondaire","Employed","moyen","petite-moyenne ville",10,"marche","employe",4
188,0,"Great Britain","homme",45,"universite","Employed","moyen","zone rurale",20,"vehicule individuel","employe",7
189,0,"Slovakia","homme",19,"premier cycle","Not Employed","moyen","petite-moyenne ville",20,"marche","sans emploi",4
190,0,"Great Britain","femme",57,"secondaire","Employed","moyen","zone rurale",25,"vehicule individuel","employe",8
191,0,"Bulgaria","homme",35,"universite","Employed","moyen","aire metropolitaine",30,"vehicule individuel","employe",7
192,1,"Latvia","femme",30,"secondaire","Employed","moyen","petite-moyenne ville",140,"velo","employe",9
193,0,"Poland","femme",56,"secondaire","Employed","tres faible","petite-moyenne ville",15,"marche","employe",8
194,1,"Greece","homme",45,"secondaire inferieur","Employed","moyen","petite-moyenne ville",5,"marche","employe",1
195,0,"Slovenia","homme",19,"premier cycle","Not Employed","faible","petite-moyenne ville",70,"transport collectif","sans emploi",10
196,0,"Latvia","homme",35,"universite","Employed","eleve","grande ville",105,"vehicule individuel","employe",7
197,0,"Lithuania","femme",21,"secondaire inferieur","Not Employed","moyen","grande ville",50,"transport collectif","sans emploi",3
198,1,"Germany","homme",55,"secondaire","Employed","faible","grande ville",45,"velo","employe",3
199,0,"Romania","homme",41,"secondaire","Employed","faible","petite-moyenne ville",30,"vehicule individuel","employe",5
200,0,"Slovakia","homme",34,"secondaire","Employed","moyen","grande ville",30,"transport collectif","employe",7
201,0,"Slovakia","femme",35,"secondaire","Not Employed","faible","petite-moyenne ville",90,"marche","sans emploi",8
202,0,"Great Britain","femme",47,"secondaire","Employed","faible","petite-moyenne ville",25,"transport collectif","employe",8
203,0,"Spain","femme",39,"universite","Employed","moyen","petite-moyenne ville",25,"transport collectif","employe",6
204,0,"Poland","femme",48,"secondaire","Not Employed","moyen","grande ville",60,"vehicule individuel","sans emploi",5
205,0,"Spain","homme",54,"secondaire inferieur","Not Employed","faible","zone rurale",30,"vehicule individuel","sans emploi",8
206,0,"Hungary","femme",27,"secondaire inferieur","Employed","faible","aire metropolitaine",10,"transport collectif","employe",6
207,0,"Lithuania","homme",17,"secondaire inferieur","Not Employed","faible","petite-moyenne ville",397,"transport collectif","sans emploi",8
208,0,"Hungary","femme",50,"secondaire","Employed","moyen","aire metropolitaine",10,"vehicule individuel","employe",4
209,0,"Croatia","homme",38,"secondaire","Employed","faible","petite-moyenne ville",150,"transport collectif","employe",5
210,0,"Great Britain","femme",47,"secondaire","Not Employed","faible","petite-moyenne ville",20,"vehicule individuel","sans emploi",3
211,0,"Lithuania","homme",44,"secondaire","Employed","moyen","petite-moyenne ville",35,"marche","employe",7
212,0,"Great Britain","homme",29,"secondaire","Employed","eleve","grande ville",35,"marche","employe",8
213,0,"Portugal","femme",50,"universite","Not Employed","moyen","petite-moyenne ville",30,"marche","sans emploi",9
214,0,"Slovenia","homme",43,"secondaire","Employed","moyen","zone rurale",30,"vehicule individuel","employe",9
215,0,"Slovenia","femme",44,"universite","Not Employed","sans reponse","petite-moyenne ville",5,"marche","sans emploi",7
216,0,"Great Britain","homme",45,"universite","Employed","moyen","petite-moyenne ville",60,"vehicule individuel","employe",8
217,0,"Lithuania","femme",20,"secondaire inferieur","Not Employed","tres faible","aire metropolitaine",40,"transport collectif","sans emploi",9
218,0,"Slovakia","femme",40,"universite","Not Employed","moyen","petite-moyenne ville",70,"transport collectif","sans emploi",7
219,0,"Sweden","homme",60,"secondaire","Employed","moyen","zone rurale",5,"marche","employe",8
220,0,"Slovakia","femme",27,"secondaire","Employed","sans reponse","petite-moyenne ville",10,"marche","employe",6
221,0,"Bulgaria","femme",49,"universite","Employed","moyen","petite-moyenne ville",20,"marche","employe",8
222,0,"Denmark","femme",17,"secondaire","Not Employed","moyen","zone rurale",20,"vehicule individuel","sans emploi",6
223,0,"Bulgaria","homme",44,"secondaire","Not Employed","faible","petite-moyenne ville",220,"transport collectif","sans emploi",10
224,0,"Bulgaria","femme",38,"universite","Employed","eleve","petite-moyenne ville",35,"vehicule individuel","employe",7
225,0,"Sweden","femme",48,"secondaire","Not Employed","faible","petite-moyenne ville",60,"marche","sans emploi",7
226,0,"Romania","femme",29,"secondaire","Not Employed","moyen","petite-moyenne ville",105,"transport collectif","sans emploi",8
227,0,"Hungary","femme",32,"secondaire","Employed","tres faible","aire metropolitaine",50,"transport collectif","employe",8
228,0,"Great Britain","homme",58,"secondaire","Employed","moyen","petite-moyenne ville",25,"vehicule individuel","employe",6
229,0,"Portugal","femme",17,"secondaire","Not Employed","moyen","aire metropolitaine",10,"vehicule individuel","sans emploi",7
230,0,"Portugal","femme",20,"secondaire inferieur","Not Employed","sans reponse","aire metropolitaine",30,"marche","sans emploi",10
231,0,"Poland","femme",56,"secondaire","Employed","moyen","petite-moyenne ville",20,"vehicule individuel","employe",7
232,0,"Netherlands","homme",58,"secondaire","Employed","moyen","petite-moyenne ville",210,"vehicule individuel","employe",8
233,0,"Sweden","homme",45,"secondaire","Employed","moyen","zone rurale",10,"vehicule individuel","employe",3
234,0,"Great Britain","homme",50,"secondaire","Employed","faible","petite-moyenne ville",20,"vehicule individuel","employe",4
235,1,"Hungary","homme",16,"premier cycle","Not Employed","eleve","petite-moyenne ville",15,"marche","sans emploi",7
236,0,"Slovenia","homme",35,"universite","Employed","eleve","petite-moyenne ville",40,"vehicule individuel","employe",8
237,0,"Slovenia","homme",45,"secondaire","Employed","moyen","grande ville",20,"marche","employe",6
238,0,"Romania","homme",28,"secondaire","Not Employed","moyen","petite-moyenne ville",20,"marche","sans emploi",6
239,1,"Latvia","homme",39,"secondaire","Employed","faible","petite-moyenne ville",10,"marche","employe",5
240,0,"Bulgaria","femme",24,"universite","Employed","faible","grande ville",15,"marche","employe",9
241,0,"Slovakia","femme",35,"secondaire inferieur","Not Employed","faible","petite-moyenne ville",35,"transport collectif","sans emploi",5
242,0,"Denmark","femme",49,"secondaire","Employed","moyen","zone rurale",15,"vehicule individuel","employe",4
243,0,"Netherlands","homme",42,"universite","Employed","eleve","grande ville",10,"transport collectif","employe",7
244,0,"Netherlands","homme",58,"secondaire inferieur","Not Employed","moyen","petite-moyenne ville",90,"vehicule individuel","sans emploi",7
245,1,"Netherlands","femme",57,"secondaire inferieur","Employed","faible","grande ville",20,"velo","employe",7
246,0,"Bulgaria","femme",28,"universite","Employed","moyen","petite-moyenne ville",15,"vehicule individuel","employe",8
247,0,"Denmark","homme",58,"universite","Employed","moyen","petite-moyenne ville",60,"vehicule individuel","employe",3
248,0,"Denmark","femme",54,"universite","Employed","moyen","petite-moyenne ville",40,"vehicule individuel","employe",10
249,0,"Latvia","homme",43,"universite","Not Employed","tres faible","petite-moyenne ville",60,"vehicule individuel","sans emploi",8
250,0,"Latvia","femme",30,"secondaire","Not Employed","moyen","petite-moyenne ville",90,"marche","sans emploi",1
251,0,"Latvia","homme",35,"universite","Not Employed","moyen","grande ville",45,"transport collectif","sans emploi",6
252,0,"Latvia","femme",38,"secondaire","Not Employed","moyen","grande ville",30,"vehicule individuel","sans emploi",8
253,0,"France","homme",49,"secondaire inferieur","Not Employed","tres faible","petite-moyenne ville",120,"marche","sans emploi",10
254,0,"Austria","homme",48,"universite","Employed","faible","petite-moyenne ville",60,"transport collectif","employe",7
255,0,"Austria","femme",32,"universite","Employed","faible","aire metropolitaine",30,"transport collectif","employe",10
256,0,"Austria","femme",26,"secondaire","Employed","eleve","grande ville",20,"vehicule individuel","employe",7
257,0,"Austria","femme",26,"universite","Employed","faible","aire metropolitaine",60,"transport collectif","employe",8
258,0,"Austria","femme",24,"secondaire","Employed","tres faible","aire metropolitaine",30,"transport collectif","employe",10
259,1,"Austria","femme",24,"secondaire","Not Employed","faible","grande ville",15,"velo","sans emploi",7
260,0,"Austria","homme",28,"secondaire","Employed","eleve","aire metropolitaine",45,"marche","employe",7
261,0,"Austria","homme",28,"premier cycle","Employed","moyen","zone rurale",20,"vehicule individuel","employe",9
262,0,"Croatia","homme",32,"secondaire","Employed","moyen","zone rurale",20,"vehicule individuel","employe",7
263,0,"Croatia","femme",45,"secondaire","Employed","moyen","petite-moyenne ville",15,"vehicule individuel","employe",7
264,0,"Finland","femme",52,"universite","Not Employed","tres faible","zone rurale",40,"vehicule individuel","sans emploi",4
265,0,"Croatia","femme",38,"secondaire","Employed","eleve","petite-moyenne ville",45,"vehicule individuel","employe",8
266,1,"Finland","homme",74,"secondaire inferieur","Not Employed","tres faible","petite-moyenne ville",20,"marche","sans emploi",7
